,gym_id,ips,photo,gym_name,gym_status,slot_limit,description,gps_latitude,last_updated,opening_date,gps_longitude,gym_name_logo,act365_roaming,act365_site_id,gym_intro_link,gym_short_name,presale_status,act365_gym_name,course_bookable,card_type_disabled,card_type_standard,gym_intro_thumbnails,tt_next_week_message,act365_access_disabled,act365_access_standard,act365_roaming_bluerock,act365_roaming_disabled,act365_site_id_bluerock,tt_current_week_message,card_access_group_disabled,card_access_group_standard,act365_access_disabled_bluerock,act365_access_standard_bluerock,act365_roaming_disabled_bluerock,_airbyte_emitted_at,_airbyte_values_ff_gyms_hashid
0,1.0,86.43.97.35;89.101.195.70,https://static.flyefit.ie/mobile_app/images/ranelagh.png,Ranelagh,1.0,100.0,,53.325686,2022-01-27T09:39:08.000000Z,2010-01-01T00:00:00Z,-6.255148,ranelagh,1589,4922.0,https://www.panowalks.com/embed/l0FVfCMLEYFT5cSdOaHAAvILzvEI/,Ranelagh,0.0,ranelagh,True,40679,40678,Ranelagh.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,14831,14830,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,7855,597,0,0,5771,2022-05-25 18:34:55.595000+00:00,cb537090231611376630355dfac5d460
1,2.0,144.2.242.207;89.101.5.210,https://static.flyefit.ie/mobile_app/images/baggot.png,Baggot Street,1.0,100.0,,53.337928,2022-01-27T09:40:14.000000Z,2013-02-28T00:00:00Z,-6.251822,baggot,1589,985.0,https://www.panowalks.com/embed/bgs1xFZ00AJXQ8fTimfRfuYfcaV6/,Baggot-street,0.0,baggot street,True,40677,40676,Baggot-Street.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,3347,3346,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,7857,7856,0,0,5771,2022-05-25 18:34:55.595000+00:00,41a29ab5d5d56127aa7229190529f60c
2,3.0,86.47.36.105;89.100.28.122;212.2.162.74,https://static.flyefit.ie/mobile_app/images/macken.png,Macken Street,1.0,100.0,,53.343811,2022-01-27T09:40:14.000000Z,2013-09-10T00:00:00Z,-6.241042,macken,1589,917.0,https://www.panowalks.com/embed/wQcmNqvasTA7f70XgcGgBGRwvnZC/,Macken-street,0.0,macken street,True,40681,40680,Macken-Street.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,3128,3127,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,16118,16117,0,0,5771,2022-05-25 18:34:55.595000+00:00,0f0680d4a1c1bb44c9d2adaafe790f01
3,4.0,86.47.47.124,https://static.flyefit.ie/mobile_app/images/swords.png,Swords,1.0,100.0,,53.445050,2022-01-27T09:40:14.000000Z,2014-01-31T00:00:00Z,-6.223770,swords,1589,1103.0,https://www.panowalks.com/embed/6bm6XOqMcZ3uqt5RJtelNSMsvlOl/,Swords,0.0,swords,True,40683,40682,Swords.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,5296,5295,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,20623,20624,0,0,5771,2022-05-25 18:34:55.595000+00:00,c40c6054fb9f3fe7fc7c7d072a22ce9c
4,5.0,89.100.153.154;185.122.132.83,https://static.flyefit.ie/mobile_app/images/georges.png,Georges Street,1.0,100.0,,53.342391,2022-03-11T09:59:02.000000Z,2015-12-16T00:00:00Z,-6.264668,georges,1589,5208.0,https://www.panowalks.com/embed/Qrj8x1Z67UYz7fkivuGoawMSf87k/,Georges-street,0.0,georges street,True,63022,63021,Georges-street.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,16250,16249,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,75326,75327,0,0,5771,2022-05-25 18:34:55.595000+00:00,d018311f6f208e43d63216c984060b77
5,6.0,where?,,Coolock (closed),0.0,100.0,,53.394951,2021-08-09T08:11:03.000000Z,2016-05-18T00:00:00Z,-6.190543,coolock,1589,,,coolock,0.0,,False,114624,114623,,,0,0,5770,1590,,,114621,114619,0,0,5771,2022-05-25 18:34:55.595000+00:00,827c8fbf56f6ea923b32767eb5784224
6,7.0,89.101.106.82,https://static.flyefit.ie/mobile_app/images/dundrum.png,Dundrum,1.0,100.0,,53.288783,2022-01-27T09:40:14.000000Z,2016-11-01T00:00:00Z,-6.242813,dundrum,1589,5045.0,https://www.panowalks.com/embed/5OwD93Gu2DEAwS7WauE5cGqLI80W/,Dundrum,0.0,dundrum,True,133355,133354,Dundrum.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,15274,15273,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,133349,133348,0,0,5771,2022-05-25 18:34:55.595000+00:00,55d8ae690574e388f12a3719e2c5a076
7,8.0,89.100.153.158;95.45.225.3;46.7.38.176,https://static.flyefit.ie/mobile_app/images/portobello.png,Portobello,1.0,100.0,,53.332482,2022-05-04T04:56:19.000000Z,2016-07-25T00:00:00Z,-6.266380,portobello,1589,1104.0,https://www.panowalks.com/embed/pC9Aj1ISLmdNbJXmztq6FIs8B58Q/,Portobello,0.0,portobello,True,133353,133352,Portobello.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,5294,5293,5770,1590,1939.0,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,133347,133345,5768,5741,5771,2022-05-25 18:34:55.595000+00:00,9ad26d3ab42cb4d415772c517f46c9e5
8,9.0,144.2.244.175;95.45.249.136;90.120.1.193,https://static.flyefit.ie/mobile_app/images/drumcondra.png,Drumcondra,1.0,100.0,,53.371762,2022-01-27T09:40:14.000000Z,2017-07-10T00:00:00Z,-6.252446,drumcondra,1589,403.0,https://www.panowalks.com/embed/V0mgt596wVz7QoTV7hrMLKfPrKWl/,Drumcondra,0.0,drumcondra,True,1,1,Drumcondra.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1593,1592,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1,1,0,0,5771,2022-05-25 18:34:55.595000+00:00,3dd1529bf97dc0497f0492e62d1a8a34
9,10.0,89.100.139.226,https://static.flyefit.ie/mobile_app/images/chq.png,CHQ,1.0,100.0,,53.349152,2022-05-04T04:56:19.000000Z,2018-01-02T00:00:00Z,-6.248309,chq,1589,698.0,https://www.panowalks.com/embed/G7yhYVqBO06bA9CjZj8D3udEYpfw/,Chq,0.0,chq,True,1,1,CHQ.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,2467,2466,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1,1,0,0,5771,2022-05-25 18:34:55.595000+00:00,441c30584df8a7dc830c1cd656a1cf41
10,11.0,89.100.206.154,https://static.flyefit.ie/mobile_app/images/chq.png,Stillorgan,1.0,100.0,,53.288294,2022-01-27T09:40:15.000000Z,2018-07-23T00:00:00Z,-6.198616,stillorgan,1589,1110.0,https://www.panowalks.com/embed/Jbd6SvmAunl3vgJ8Y5ffmXN5o8H8/,Stillorgan,0.0,Stillorgan,True,1,1,Stillorgan.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,3669,3668,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1,1,0,0,5771,2022-05-25 18:34:55.595000+00:00,6805c871502be66d1a280fe2e3d8c2f2
11,12.0,89.100.206.238,https://static.flyefit.ie/mobile_app/images/chq.png,Tallaght,1.0,100.0,,53.287938,2022-01-27T09:40:15.000000Z,2018-08-20T00:00:00Z,-6.377246,tallaght,1589,1102.0,https://www.panowalks.com/embed/YCr43uC4hVzUiUMqf66Bql6h4rx6/,Tallaght,0.0,Tallaght,True,1,1,Tallaght.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,3671,3670,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1,1,0,0,5771,2022-05-25 18:34:55.595000+00:00,c907212e76c29fd07d54f6604eb3809b
12,13.0,159.253.225.41;86.43.64.234,https://static.flyefit.ie/mobile_app/images/chq.png,Sallynoggin,1.0,100.0,,53.287938,2022-01-27T09:40:15.000000Z,2019-01-17T00:00:00Z,-6.377246,sallynoggin,1589,1363.0,https://www.panowalks.com/embed/gaIRWMwJpITviZQM44LZnWvDaAex/,Sallynoggin,0.0,Sallynoggin,True,1,1,Sallynoggin.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,4402,4401,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1,1,0,0,5771,2022-05-25 18:34:55.595000+00:00,6f616d22c41abbe63588704220aca3b6
13,14.0,159.253.225.195,https://static.flyefit.ie/mobile_app/images/chq.png,Liffey Valley,1.0,100.0,,53.287938,2022-01-27T09:40:15.000000Z,2019-01-30T00:00:00Z,-6.377246,liffey_valley,1589,1403.0,https://www.panowalks.com/embed/93xJRBS3AYiOxYe2w2aITyo0wEYK/,Liffey Valley,0.0,Liffey Valley,True,1,1,Liffey-Valley.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,4497,4496,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1,1,0,0,5771,2022-05-25 18:34:55.595000+00:00,6b2448b712f9808ef23cd8c3389e7bc0
14,15.0,86.43.71.59,https://static.flyefit.ie/mobile_app/images/chq.png,Cork City,1.0,100.0,,53.287938,2022-01-27T09:40:15.000000Z,2019-05-19T00:00:00Z,-6.377246,cork_city,1589,1625.0,https://www.panowalks.com/embed/X8R9G5n3CP67Lz36hVZUeLu8l35r/,Cork City,0.0,Cork,True,1,1,Cork.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,5036,5035,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1,1,0,0,5771,2022-05-25 18:34:55.595000+00:00,f2269f968a6b2fa98c7ac2f35dae8e1c
15,16.0,81.173.13.107;89.100.153.154,https://static.flyefit.ie/mobile_app/images/blanchardstown.png,Blanchardstown,1.0,100.0,,53.383964,2022-01-27T09:40:15.000000Z,2019-11-17T00:00:00Z,-6.402315,blanchardstown,1589,2058.0,https://www.panowalks.com/embed/QthKLXJQIyppw6hhwkKGpy1KaK8x/,Blanchardstown,0.0,Blanchardstown,True,1,1,Blanchardstown.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,6031,6030,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1,1,0,0,5771,2022-05-25 18:34:55.595000+00:00,c75c932528d1b81aa59f31df4b7e4ca4
16,17.0,89.101.125.18,,Jervis Street,1.0,100.0,,53.347676,2022-01-27T09:40:15.000000Z,2020-02-15T00:00:00Z,-6.265987,jervis,1589,2260.0,https://www.panowalks.com/embed/hubqAVbe6hMBqCfNfD9NEhx4Oofa/,Jervis-street,0.0,Jervis Shopping Center,True,1,1,Jervis-Street.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,6650,6649,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1,1,0,0,5771,2022-05-25 18:34:55.595000+00:00,27ec62ce723a31e3e01f9169841c3fa2
17,18.0,81.173.14.93,,Northside SC,1.0,100.0,,53.347676,2022-01-27T09:40:15.000000Z,2021-10-24T00:00:00Z,-6.265987,northside,1589,4662.0,https://www.panowalks.com/embed/hubqAVbe6hMBqCfNfD9NEhx4Oofa/,Northside SC,0.0,Northside SC,True,1,1,northside.jpg,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,14143,14142,5770,1590,,All classes are Free with a current Membership. Please notify the Class Instructor of any Medical Conditions or Pregnancies. Timetable subject to change,1,1,0,0,5771,2022-05-25 18:34:55.595000+00:00,cc0469cdce842303da65fed8ffe97ac2
